0	7	8	5
1	6	12	5
2	2	4	5
3	5	2	5
4	4	6	5
5	15	14	5
6	13	4	5
7	7	2	5
8	11	12	5
9	2	15	5
10	0	2	5
11	3	15	5
12	13	8	5
13	1	5	5
14	4	9	5
15	10	4	5
16	3	9	5
17	3	14	5
18	2	10	5
19	10	0	5
20	8	15	5
21	6	14	5
22	12	14	5
23	2	1	5
24	3	1	5
25	11	9	5
26	15	11	5
27	7	4	5
28	0	9	5
29	9	0	5
30	4	8	5
31	13	8	5
32	7	14	5
33	6	1	5
34	15	10	5
35	11	10	5
36	9	13	5
37	11	13	5
38	9	10	5
39	1	11	5
40	2	10	5
41	3	13	5
42	14	1	5
43	6	4	5
44	8	3	5
45	11	10	5
46	5	7	5
47	9	8	5
48	15	9	5
49	8	11	5
50	7	11	5
51	1	10	5
52	4	12	5
53	11	14	5
54	7	0	5
55	13	14	5
56	4	11	5
57	5	2	5
58	11	15	5
59	0	5	5
60	0	10	5
61	0	8	5
62	7	10	5
63	9	11	5
64	0	13	5
65	11	4	5
66	5	6	5
67	0	3	5
68	5	7	5
69	6	15	5
70	13	3	5
71	3	1	5
72	6	3	5
73	8	6	5
74	3	6	5
75	14	5	5
76	11	0	5
77	15	4	5
78	13	11	5
79	2	4	5
80	9	6	5
81	9	8	5
82	10	1	5
83	15	7	5
84	1	4	5
85	0	15	5
86	13	7	5
87	12	10	5
88	7	9	5
89	8	5	5
90	14	11	5
91	3	8	5
92	14	6	5
93	12	13	5
94	6	11	5
95	13	4	5
96	13	12	5
97	9	12	5
98	1	12	5
99	1	7	5
100	0	4	5
101	2	12	5
102	13	6	5
103	13	15	5
104	1	13	5
105	13	10	5
106	6	10	5
107	11	1	5
108	8	12	5
109	7	14	5
110	1	13	5
111	2	9	5
112	8	10	5
113	8	1	5
114	2	6	5
115	11	8	5
116	9	12	5
117	3	15	5
118	13	2	5
119	14	9	5
120	14	2	5
121	10	5	5
122	3	9	5
123	9	1	5
124	3	5	5
125	11	2	5
126	0	1	5
127	0	14	5
128	14	3	5
129	15	5	5
130	9	2	5
131	5	13	5
132	12	8	5
133	11	12	5
134	9	7	5
135	13	10	5
136	8	7	5
137	15	1	5
138	1	8	5
139	0	5	5
140	12	0	5
141	7	6	5
142	15	5	5
143	2	1	5
144	8	14	5
145	4	0	5
146	6	9	5
147	3	7	5
148	7	3	5
149	10	14	5
150	7	6	5
151	0	14	5
152	14	8	5
153	6	8	5
154	0	13	5
155	7	12	5
156	6	13	5
157	2	13	5
158	8	2	5
159	12	3	5
160	12	15	5
161	10	8	5
162	15	1	5
163	15	13	5
164	5	11	5
165	4	5	5
166	8	4	5
167	3	5	5
168	5	12	5
169	1	9	5
170	2	6	5
171	12	3	5
172	8	2	5
173	9	13	5
174	1	12	5
175	9	15	5
176	3	10	5
177	15	8	5
178	14	2	5
179	1	0	5
180	12	6	5
181	14	4	5
182	6	0	5
183	11	7	5
184	10	7	5
185	9	14	5
186	9	4	5
187	10	15	5
188	4	12	5
189	12	10	5
190	4	3	5
191	4	10	5
192	14	15	5
193	6	11	5
194	2	15	5
195	6	0	5
196	15	12	5
197	1	5	5
198	12	7	5
199	3	0	5
200	14	4	5
201	15	6	5
202	4	7	5
203	14	13	5
204	4	3	5
205	2	11	5
206	2	7	5
207	3	2	5
208	6	5	5
209	2	0	5
210	3	10	5
211	4	5	5
212	0	7	5
213	3	2	5
214	0	12	5
215	5	9	5
216	3	11	5
217	15	7	5
218	5	10	5
219	8	0	5
220	9	10	5
221	8	5	5
222	5	12	5
223	1	14	5
224	11	0	5
225	9	5	5
226	11	3	5
227	7	1	5
228	5	13	5
229	6	1	5
230	14	12	5
231	11	5	5
232	12	2	5
233	7	13	5
234	14	5	5
235	14	10	5
236	15	0	5
237	15	4	5
238	1	4	5
239	10	6	5
